x, y
0.0011271788592759017, -8.387096856676829
0.0018636487247360618, -7.2657448065783985
0.0030813067261195003, -6.298002920584495
0.0049148230653426675, -5.422426928494774
0.007123380782288479, -4.669738454013068
0.009608787599323576, -3.9938555729799647
0.012063015328735046, -3.4101380744547045
0.014609809524138408, -2.9032256579817073
0.017070070246405097, -2.442396188460802
0.01970729361163266, -2.05837180099216
0.022213680146976215, -1.6897082253754352
0.025340339247581337, -1.3671275967108016
0.028907133471926423, -1.105990726850175
0.03377503301276559, -0.8909373153379772
0.04139846367759235, -0.6605225805775241
0.05323161742004179, -0.4915516046210797
0.07808142000682307, -0.32258062866463355
0.1526540773338761, -0.15361016410452777
0.3093625411324877, -0.046082946952090253
