x, y
0.0011363694162079782, -5.016778523489933
0.0066919211185339725, -3.878635176076185
0.016414139487526635, -2.30984322976746
0.020233587785200638, -1.6792507299640835
0.021275254451867304, -1.4024050923801905
0.02231692111853397, -1.110178800237259
0.027525254451867306, -0.9563758389261743
0.03898358778520064, -0.8179530201342278
0.056344702749541314, -0.6487694042641046
0.08481692111853398, -0.5718681796285132
0.11849748438054865, -0.46420564587484314
0.15287248438054865, -0.4334453608365667
0.1806502544518673, -0.37192376668021154
0.19974748438054865, -0.32578282708289663
