x, y
0.0015151515151515152, -7.26510067114094
0.004166666666666667, -6.275167785234899
0.008333333333333333, -5.453020134228188
0.014015151515151515, -4.6644295302013425
0.019696969696969695, -4.026845637583893
0.025757575757575757, -3.406040268456376
0.03169192111853397, -2.8942953020134228
0.03724747282085997, -2.4482660485594065
0.043150254451867306, -2.0483782467426073
0.048011369416207976, -1.6792507299640835
0.05391413948752664, -1.387024437821152
0.056691921118533974, -1.110178800237259
0.06294192111853397, -0.8948547568097212
0.06398358778520064, -0.6487694042641046
0.06919192111853398, -0.4795863004338816
0.06606692111853397, -0.3411634816419351
0.06502525445186731, -0.18736000829095012
0.04141413948752663, -0.03355704697986539
