x, y
0.012409378226834496, -9.676923082438895
0.018214458496346512, -8.384615412194476
0.026101550156416024, -7.276923123413544
0.03695798061971029, -6.30769237073023
0.051089689812533846, -5.44615426535603
0.06812920086110677, -4.661538894136204
0.08976875879247785, -4.030768991225124
0.115478263785157, -3.4307695136519074
0.1485508943892374, -2.892307813655693
0.1888171765958635, -2.4307693599969715
0.23713754414420546, -2.0307691960983725
0.29427294770681073, -1.6923078341430173
0.3740387249971873, -1.3692309165819125
0.46975929976174635, -1.1230772453583011
0.6115873798824968, -0.8461541731630682
0.7773658126274189, -0.6461538351222096
1.0366340407503885, -0.4923078546303419
1.349610954378306, -0.30769247316685444
1.8434252157456879, -0.1692309370692371
2.3999856911380735, -0.04615384536587186
